Survey,clean_text,Label
Semoga lebih ditingkatkan lagi dalam proses pembelajaran yang di ampuh,moga lebih tingkat dalam proses ajar di ampuh,negatif
cukup,cukup,positif
materi yang diajarkan sebaiknya diberikan di elearning,materi ajar baik beri elearning,negatif
lebih diperhatikan lagi,lebih perhati,positif
"Tidak ada saran, semua sudah berjalan dengan baik, belajar mengajar juga lancar",tidak saran semua jalan baik ajar ajar lancar,positif
Terimakasih bu,terimakasih bu,positif
Selamat bu atas S2 nya,selamat bu atas s nya,positif
"Cukup baik dalam menyampaikan materi, tetapi sebaiknya tidak hanya membaca materi ppt yang disampaikan.",cukup baik sampai materi baik tidak baca materi ppt sampai,negatif
Cukup Baik,cukup baik,positif
baru pertama belajar coding langsung paham cara fokus untuk tidak mendapatkan eror disetiap aplikasi yang dijalankan,baru pertama ajar coding langsung paham cara fokus tidak dapat eror tiap aplikasi jalan,positif
"Semoga Pelajaran riset operasi bisa lebih baik lagi mungkin dalam materi, penyampaian, dll",moga ajar riset operasi lebih baik mungkin materi sampai,negatif
uhuyyy tubes nya mantap ibuuu..,uhuyyy tubes nya mantap ibuuu,positif
sudah sangat baik dalam memberikan materi,sangat baik beri materi,positif
sebaiknya cari asisten guru yang bisa ilmu mengenai database,baik cari asisten guru bisa ilmu kena database,positif
Ingin Pelajaran tatap muka tapi tidak memungkinkan,ajar tatap muka tidak mungkin,positif
Materinya kurang dapat dipahami,materi kurang paham,negatif
bisa tambah baik dalam mengajar,tambah baik ajar,positif
Lebih ditingkatkan dalam menyampaikan materi agar yang menerima materi tidak bosan,lebih tingkat sampai materi yang terima materi tidak bosan,negatif
sudah cukup baik namun lebih diprioritaskan lagi tentang hal mengajar dikelas,cukup baik lebih prioritas tentang ajar kelas,negatif
Pak sangat jelas dalam menyampaikan materi dan sangat mudah di fahami serta sabar dalam menghadapi siswanya yang kadang tidak mendengarkan beliau. Saran saya yaitu tetap pertahankan cara mengajarnya serta kesabarannya. Terimakasih,pak sangat jelas sampai materi sangat mudah fahami sabar hadap siswa kadang tidak dengar beliau saran yaitu tetap tahan cara ajar sabar terimakasih,positif
Bu Mohon maaf bu kalau maul ngumpulin tugas nya telat soalnya sama kerja malem nya,bu mohon maaf bu kalau maul ngumpulin tugas nya telat soal sama kerja malem nya,negatif
menyampaikan materi dengan sangat baik dan cukup mudah untuk dipahami,sampai materi sangat baik cukup mudah paham,positif
guru Pelajaran sangat baik dalam melakukan bimbingan belajar Pelajaran sistem cloud computing,guru ajar sangat baik laku bimbing ajar ajar sistem cloud computing,positif
Bapak guru diharapkan mampu berkoordinasi dengan pihak akademik terkait jadwal mengajar agar tidak sering meninggalkan kelas.,bapak guru harap mampu koordinasi pihak akademik kait jadwal ajar tidak sering tinggal kelas,negatif
"Belum bertemu Gurunya. tetapi dengan bu makin semangat, terimakasih bu",belum temu guru dengan bu makin semangat terimakasih bu,positif
Semoga sukses dan sehat selalu untuk pak,moga sukses sehat selalu pak,positif
Tidak ada sudah baik,tidak sudah baik,positif
Sudah Cukup Baik,cukup baik,positif
Ibu sudah menyampaikan materi dengan baik harap di pertahankan atau bisa lebih baik lagi,ibu sampai materi baik harap tahan bisa lebih baik,positif
proses mengajarnya menarik semoga bisa tetap seperti itu,proses ajar tarik moga tetap itu,positif
alhamdulillah tidak ada bu,alhamdulillah tidak bu,positif
sejauh ini sudah baik,jauh sudah baik,positif
Semoga tidak ada atau lebih sedikit acara untuk guru agar Pelajaranya tidak terhambat,moga tidak atau lebih sedikit acara guru pelajaranya tidak hambat,negatif
Terimakasih pak ilmunya.,terimakasih pak ilmu,positif
mohon bapak pertahanin saat dalam menyampaikan materi karena pada saat menyampaikan materi kami lebih bersemangat dan tidak mudah bosen ketika dikelas,mohon bapak pertahanin dalam sampai materi pada sampai materi lebih semangat tidak mudah bosen kelas,positif
"Sangat baik dalam menyampaikan materi dan juga memberikan contoh dalam kehidupan sehari hari sehingga Siswa lebih mengerti dengan materi yang disampaikan,",sangat baik sampai materi juga beri contoh hidup hari hari siswa lebih erti materi sampai,positif
Penjelasan materi terlalu cepat,jelas materi terlalu cepat,negatif
Tidak ada saran dari saya,tidak saran saya,positif
"jika menjelaskan materi jangan hanya berpatokan dan membaca ppt saja, lebih detail dan tidak terburuburu sehingga Siswa bisa paham terhadap apa yang disampaikan",jelas materi jangan patok baca ppt lebih detail tidak terburuburu siswa paham apa sampai,negatif
pembelajaran mekanika teknik cukup menurut saya,ajar mekanika teknik cukup saya,positif
semoga kedepannya lebih bisa berinteraksi dengan Siswa mahasiswi pasif dan mengajarkan Siswa sesuai porsinya,moga depan lebih interaksi siswa mahasiswi pasif ajar siswa sesuai porsi,negatif
Pada setiap sub bab setidaknya diberikan satu soal untuk. Siswa supaya kami bisa latihan soal pada setiap sub bab,tiap sub bab tidak beri satu soal siswa kami latih soal tiap sub bab,negatif
"Sudah bagus, tidak ada saran",bagus tidak saran,positif
pak baik,pak baik,positif
Saran saya agar guru dapat mengerti materi yang di berikan kepada Siswa,saran agar guru erti materi di ikan siswa,negatif
Tidak ada saran semua sudah berjalan dengan lancar dan baik,tidak saran semua jalan lancar baik,positif
semua sudah berjalan dengan sangat baik dan sesuai dengan materi sesuai mapel yang diajarkan,semua jalan sangat baik sesuai materi sesuai mapel ajar,positif
mengundang lebih banyak pemateri¿¿ dari BUMN,undang lebih banyak materi bumn,positif
semangat bapak,semangat bapak,positif
Lebih sabar lgi,lebih sabar lgi,positif
"TIdak ada saran, semoga pak sehat selalu, itu saja dari saya pak yg terbaik. Tuhan Berkati",tidak saran moga pak sehat selalu saja saya pak yg baik tuhan berkat,positif
Pemaparan materi sudah cukup baik dan dapat ditingkatkan lagi,papar materi cukup baik dapat tingkat,positif
Jangan susah susah pak pusingg,jangan susah susah pak pusingg,negatif
"Tolong mengajarnya di tingkatkan lagi seperti lebih aktif,semangat,dan memberikan sedikit solusi ke Siswa nya saat ada kesalahan",ajar tingkat seperti lebih aktif semangat beri sedikit solusi siswa nya ada salah,negatif
cukup puas dengan pengajarannya,cukup puas ajar,positif
baik dan jelas,baik jelas,positif
"Sejauh ini walopun masi belom jauh masi aman mental dan fisik Alhamdulillah,gada saran tpi nya sangat baik lah sama pengajaran nya",jauh walopun mas bom jauh mas aman mental fisik alhamdulillah gada saran tpi nya sangat baik lah sama ajar nya,positif
Lebih ditingkatkan kembali agar mendapatkan hasil pengajaran yg lebih maksimal kembali agar meluluskan Siswa yg baik.,lebih tingkat agar dapat hasil ajar yg lebih maksimal agar lulus siswa yg baik,negatif
"Secara keseluruhan cara penyampaian ibu sudah sangat baik dan bisa saya mengerti, ibu juga selalu tepat waktu datang ke kelas untuk mengajar pada jam Pelajaran Pengantar Manajemen Bisnis Digital",seluruh cara sampai ibu sangat baik bisa erti ibu selalu tepat waktu datang kelas ajar jam ajar antar manajemen bisnis digital,positif
Semakin diperbagus,makin bagus,positif
Latihan tugas diperbanyak agar saya lebih paham.,latih tugas banyak saya lebih paham,negatif
Tidak ada saran.,tidak saran,positif
lebih ditingkakan,lebih ditingkakan,positif
Sudah sangat baik ¿¿¿¿,sangat baik,positif
cara penyampaian materi sangat bagus,cara sampai materi sangat bagus,positif
mungkin untuk tubes alangkah baiknya bisa didana sama sekolah pak,mungkin tubes alangkah baik dana sama sekolah pak,positif
mantap seru oke,mantap seru oke,positif
mantab,mantab,positif
Untuk penyampaian materi jangan ada jeda yang cukup panjang selama jam Pelajaran aljabar Linear berlangsung,sampai materi jangan jeda cukup panjang lama jam ajar aljabar linear langsung,negatif
Terimakasih untuk pak telah memberikan materi akpl dengan sangat baik. Semoga kedepanya quiz diberikan waktu yang sedikit panjang.,terimakasih pak beri materi akpl sangat baik moga depa quiz beri waktu sedikit panjang,positif
suaranya kadang tidak kedengaran pak lebih di kerasin dikit,suara kadang tidak dengar pak lebih kerasin dikit,negatif
"sudah sangat baik, tidak pernah memberi tugas yang memberatkan Siswa",sangat baik tidak pernah beri tugas berat siswa,positif
semoga panjang umur sehat selalu pak,moga panjang umur sehat selalu pak,positif
"Ibu Guru sekiranya bisa lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.¿¿¿¿",ibu guru sekira lebih pelanpelan beri materi ajar kami paham satu satu materi baik,negatif
jangan keseringan online,jangan sering online,negatif
semoga lebih baik kembali,moga lebih baik,positif
terima kasih bu atas ilmu yang diberikan selama satu semester ini,terima kasih bu atas ilmu beri lama satu semester,positif
"Jujur SANGAT TIDAK PUAS/Buruk. Diantara Guru/mapel yang lainnya, ini yang paling buruk. Yg awal2 pembelajaran Matematika Sains yang sangat tidak relevan dengan jurusan. Pembelajaran Online yang dimana banyak teman2 Siswa yang sangat kurang paham terhadap materi yang disampaikan. Saya pun kurang puas dengan materi yang disampaikan. Gurunya pun agak gimana gitu/ beda dari Guru2 lainnya. Perlu ada perubahan terkait guru & pembelajaran Pelajaran ini. Terimakasih",jujur sangat tidak puas buruk antara guru mapel lain paling buruk yg awal ajar matematika sains sangat tidak relevan jurus ajar online mana banyak teman siswa sangat kurang paham materi sampai kurang puas materi yang sampai guru pun agak gimana gitu beda guru lain perlu ubah kait guru ajar ajar terimakasih,negatif
untuk pembelajaran sangat baik dan menyenangkan,ajar sangat baik senang,positif
Nice try,nice try,positif
untuk penyampaian materi sudah baik tetapi terkadang mager wkwk,sampai materi baik terkadang mager wkwk,negatif
UAS jangan pakai kertas pak,uas jangan pakai kertas pak,negatif
semangat terus pak,semangat terus pak,positif
mantap lahh,mantap lahh,positif
Memaksimalkan proses pembelajaran pada Siswa,maksimal proses ajar siswa,negatif
"Tidak ada, pengajaran beliau bagus sekali",tidak ajar beliau bagus sekali,positif
terimakasih pak,terimakasih pak,positif
semoga pelayanan kepada Siswa lebih meningkat lagi,moga layan siswa lebih tingkat,positif
penjelasan terlalu cepat dan suara sedikit menggumam. cukup membosankan ketika 3 jam hanya penuh dengan materi. sedikit tambahkan games atau penyegaraan sesaat agar Siswa dapat fokus kembali,jelas terlalu cepat suara sedikit gumam cukup bosan jam penuh materi sedikit tambah games segara saat siswa fokus,negatif
penyampaian materi sangat mudah dipahami,sampai materi sangat mudah paham,positif
Saran untuk pembelajaran Pelajaran pancasila adalah semoga semakin lebih baik lagi dalam menyampaikan materi,saran ajar ajar pancasila moga makin lebih baik dalam sampai materi,positif
Sudah sangat baik dalam menyampaikan materi,sangat baik sampai materi,positif
"menurut saya waktu pengumpulan tugas yang diberikan kadang sangat singkat, saran saya bapak / ibu bisa memberika batas waktu yang lebih lama",waktu kumpul tugas beri kadang sangat singkat saran saya bapak ibu memberika batas waktu lebih lama,negatif
Sejauh ini Penyampaian di mapel ini sudah sangat baik dan guru dapat menerima saran maupun kritik dari Siswa,jauh sampai mapel sudah sangat baik guru terima saran maupun kritik siswa,positif
Mungkin lebih baik untuk kedepannya dalam menjalankan Pelajaran,mungkin lebih baik depan jalan ajar,positif
sehat2 selalu untuk pak dan keluarga agar bisa memberikan ilmu dan manfaat yang baik bagi kami,sehat selalu pak keluarga bisa beri ilmu manfaat baik kami,positif
"Saran dari saya, ibu dapat lebih pelan dalam penyampaian materi sehingga kami dapat lebih mudah memahami. saya berharap pula ibu dapat memperpanjang tenggat waktu pengumpulan tugas kuis agar kami dapat menyelesaikannya dengan maksimal.",saran ibu lebih pelan sampai materi kami lebih mudah paham saya harap ibu panjang tenggat waktu kumpul tugas kuis kami selesai maksimal,negatif
Mantappp,mantappp,positif
belum ada lagi bu.. terimakasih banyak sudah mau sabar bu,belum lagi bu terimakasih banyak mau sabar bu,positif
diharapkan bisa masuk terus untuk pembelajaran mapel nya,harap masuk terus ajar mapel nya,negatif
luar biasa pertahankan,luar biasa tahan,positif
Pelajaran menarik,ajar tarik,positif
Sebaiknya perlu dipertahankan untuk pemaparan materinya,baik perlu tahan papar materi,positif
Sabar Bu dalam menghadapi anak kelas saya,sabar bu hadap anak kelas,positif
sangat baik ¿¿¿¿,sangat baik,positif
"Tidak ada, senang bisa dapat materi di YouTube Ibu Guru",tidak senang dapat materi youtube ibu guru,positif
"sangat baik bu, pembelajaran cukup menarik",sangat baik bu ajar cukup tarik,positif
Interaksi dengan Siswa sangat baik terutama saat sesi diskusi di dalam kelas.,interaksi siswa sangat baik utama sesi diskusi dalam kelas,positif
saran / pendapat / kritik dari Siswa dimohon jgn terlalu diperdebatkan,saran dapat kritik siswa mohon jgn terlalu debat,negatif
"terimakasih bu, selama proses pembelajaran berlangsung ibu sudah menjelaskan materi dengan sangat baik",terimakasih bu lama proses ajar langsung ibu jelas materi sangat baik,positif
Lebih baik di adakan mic biar suara guru tersebut terdengar sampai ke belakang,lebih baik adakan mic biar suara guru sebut dengar ke belakang,positif
"cukup baik, kurang bisa memahami materi karena online dan jadwalnya diganti di hari sabtu, dimana hari tersebut banyak kegiatan organisasi",cukup baik kurang paham materi online jadwal ganti hari sabtu hari sebut banyak giat organisasi,negatif
"tidak ada, karena semuanya sudah sangat baik",tidak karena semua sangat baik,positif
"Pengajaran baik, interaktif dengan Siswa dan menyenangkan. Pendekatan untuk menarik minat Siswa sudah sangat baik.",ajar baik interaktif siswa senang dekat tarik minat siswa sangat baik,positif
guru terlalu cepat dalam menjelaskan materi,guru terlalu cepat jelas materi,negatif
Terimakasih kepada bu inas telah mengajarkan kami dengan keikhlasan saran sedikit dari saya yaitu jangan terlalu cepat dalam berpindah materi. Terimakasih,terimakasih bu inas ajar dengan ikhlas saran sedikit saya jangan terlalu cepat pindah materi terimakasih,positif
lebih perbanyak contoh soal,lebih banyak contoh soal,negatif
Memberi nilai yang terbaik untuk mahasiwanya,beri nilai baik mahasiwanya,positif
Terima kasih pengajarannya sangat baik,terima kasih ajar sangat baik,positif
Pertahankan cara pengajaran,tahan cara ajar,positif
tetap konsisten dalam mengajar,tetap konsisten ajar,positif
Komunikasi saat di media chat,komunikasi di media chat,negatif
"Pemberian Materi di kelas sudah sangat Baik, untuk penugasan terlalu banyak meresume sehingga dirasa kurang mendalam untuk pemahaman teori tata kelolanya",beri materi kelas sangat baik tugas terlalu banyak resume rasa kurang dalam paham teori tata kelola,negatif
Lebih di perhatikan lagi siswa/i nya. Terimakasih,lebih perhati siswa i nya terimakasih,negatif
sudah baik dalam mengajar tetapi memang mapelnya yang agak susah jadi kurang paham,baik ajar memang mapelnya agak susah jadi kurang paham,positif
sudah baik.,baik,positif
sudah cukup baik,cukup baik,positif
Keren bu,keren bu,positif
Lebih baik lagi dalam mengajar,lebih baik dalam ajar,positif
"Sudah baik dalam menyampaikan materi, serta pembagian kelompok yang adil, semoga bisa diterapkan lagi di pembelajaran selanjutnya, terima kasih ¿¿¿¿",baik sampai materi bagi kelompok adil moga terap di ajar lanjut terima kasih,positif
menghadirkan pembejaran dengan berbagai variasi agar pada saat pmbelajaran tidak terkesan monoton,hadir pembejaran bagai variasi pada pmbelajaran tidak kes monoton,negatif
SEMOGA SEHAT SELALU IBU,moga sehat selalu ibu,positif
"untuk asprak nya saja, agar ditingkatkan proses pengajaran pada saat praktikumnya,",asprak nya agar tingkat proses ajar saat praktikum,negatif
mungkin bisa diadakan kelas offline sesekali agar terdapat interaksi karena penyampaian materi sudah bagus,mungkin ada kelas offline sekal dapat interaksi sampai materi bagus,negatif
"materi yang disampaikan mungkin bisa lebih dijabarkan lagi, tidak hanya dari slide materi",materi sampai mungkin lebih jabar tidak dari slide materi,negatif
tolong kelasnya jangan pagipagi pak :),kelas jangan pagipagi pak,negatif
lebih ditingkatkan lagi dari segi penyampaian materi dan interaksinya kepada Siswa,lebih tingkat dari segi sampai materi interaksi siswa,negatif
pembelajaran cenderung searah dan kurang interaktif,ajar cenderung arah kurang interaktif,negatif
Bagus dalam memberikan materi,bagus beri materi,positif
"semua sangat baik, terimakasih ilmunya bu",semua sangat baik terimakasih ilmu bu,positif
Lebih fleksibel lagi dalam pembelajaran,lebih fleksibel dalam ajar,positif
lakukan interaksi kepada Siswa,laku interaksi siswa,negatif
tidak ada komplain kecuali hal yang diekspektasi,tidak komplain hal diekspektasi,positif
"Tidak ada, karena sudah baik",tidak karena baik,positif
semoga bapak sehat selalu,moga bapak sehat selalu,positif
Tolong pembelajaran lebih baik dilakukan secara offline,ajar lebih baik laku offline,negatif
Semoga bisa tetap konsisten dalam mengajar dan tetap menjadi penyabar sebagai guru yang sudah dinilai sabar oleh Siswa,moga tetap konsisten ajar tetap jadi sabar guru sudah nilai sabar siswa,positif
Tidak ada bu,tidak bu,positif
sudah bagus dalam pembelajaran dan juga cara mengajarnya juga sudah bagus,bagus ajar cara ajar juga sudah bagus,positif
gg,gg,positif
gaada saran udah mantap,gaada saran udah mantap,positif
Memberikan materi atau ppt tentang materi yang sedang dipelajari dan dicantumkan dielearning supaya kalau semisal ada ujian jadi bisa melihat materi yang telah diberikan oleh guru,beri materi ppt materi sedang ajar cantum dielearning kalau misal uji jadi lihat materi telah beri guru,negatif
Bapak is The Best,bapak is the best,positif
"bagus, dipertahankan",bagus tahan,positif
"untuk IoT tubesnya alangkah baiknya bisa didanai oleh sekolah pak, karena menghabiskan banyak kami",iot tubesnya alangkah baik dana sekolah pak habis banyak,negatif
"Ibu Guru sekiranya lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.",ibu guru sekira lebih pelanpelan beri materi ajar kami paham satu satu materi baik,negatif
"Mantap pak, sangking mantap nya saya tidak ada saran untuk bapak.",mantap pak sangking mantap nya tidak saran bapak,positif
Suda sangat baik,suda sangat baik,positif
"kurang efektif ketika mengajar online,smoga kedepannya bisa mengajar offline",kurang efektif ajar online smoga depan ajar offline,negatif
dapat menyampaikan materi yg mudah dipahami,sampai materi yg mudah paham,positif
semangat bu,semangat bu,positif
"sarannya kalau bisa jadwal Pelajaran sesuai yang sudah dijadwalkan, dan kepada guru pengampu bisa lebih baik lagi untuk mengirimkan materi pada elearning.",saran kalau jadwal ajar sesuai sudah jadwal kepada guru ampu lebih baik untuk kirim materi elearning,negatif
Interaksi dalam pembelajaran harus lebih aktif dan melibatkan seluruh Siswa,interaksi ajar lebih aktif libat seluruh siswa,negatif
"sudah baik dalam menyampaikan materi, dipertahankan",baik sampai materi tahan,positif
"bu sangat sabar<3, jadi tidak ada saran terimakasih bu ber<3",bu sangat sabar jadi tidak saran terimakasih bu ber,positif
Not bad,not bad,positif
"sudah sangat bagus, semua materi dan record zoom di uploud di e learning sehingga Siswa dapat mengulang kembali materi yg dijelaskan",sangat bagus semua materi record zoom uploud e learning siswa ulang materi yg jelas,positif
semoga kedepannya lebih baik. terimakasih,moga depan lebih baik terimakasih,negatif
Soal kuis dan ujian agar bisa lebih mudah terimakasih,soal kuis uji bisa lebih mudah terimakasih,negatif
terimakasih Pak telah mengajar saya. mohon bimbingannya kedepan,terimakasih pak ajar mohon bimbing depan,positif
"Kinerja sudah baik, dalam menyampaikan informasi sudah sangat baik",kerja baik sampai informasi sangat baik,positif
Selalu menjadi guru yang berkualitas untuk siswanya,selalu jadi guru kualitas siswa,positif
Interaksi guru dengan Siswa sebaiknya lebih diperhatikan lagi karena Pelajaran bahasa indonesia ini memang harus cukup banyak berdiskusi.,interaksi guru siswa baik lebih perhati karena ajar bahasa indonesia memang cukup banyak diskus,negatif
Semoga memenya semakin banyak,moga memenya makin banyak,positif
Ketika Pelajaran di lab bolehkah sama bapak saja:D,ajar lab boleh sama bapak d,positif
sangat baik dalam menerangkan materi,sangat baik terang materi,positif
Lebih sering masuk kelas,lebih sering masuk kelas,negatif
Lebih sering latihan soal agar bisa lebih memahami perbedaan antar pendekatan dalam probabilitas.,lebih sering latih soal bisa lebih paham beda antar dekat probabilitas,negatif
"Tidak ada, karena pak adalah motivasi saya untuk lebih berkembang lagi",tidak karena pak motivasi untuk lebih kembang,positif
Semoga kedepannya dalam mengajar tetap baik dan menjadi lebih baik,moga depan ajar tetap baik jadi lebih baik,positif
Guru yang sangat sabar dan sangat baik dalam penyampaian materi,guru sangat sabar sangat baik sampai materi,positif
"Saranya tolong untuk bu rajin masuk kelas dan memberikan materi dengan baik,jelas dan dapat dipahami oleh siswa. Sejak awal semester beliau masuk kelas terhitung 23 kali saja. Lalu materi yang disampaikan tidak merujuk kepada ict business law malah seperti pelajaran hukum pkn. Kemudian, selama saya di semester ini apa itu ict business law saya belum memiliki gambaran akan mapel ini. Setau saya, ict business law itu lumayan banyak hafaln karena menyakup hukum namun realita yang saya dapatkan sebaliknya",sara untuk bu rajin masuk kelas beri materi baik jelas dapat paham siswa sejak awal semester beliau masuk kelas hitung kali lalu materi sampai tidak rujuk ict business law malah ajar hukum pkn kemudian lama di semester apa ict business law belum milik gambar mapel tau ict business law lumayan banyak hafaln menyakup hukum realita saya dapat balik,negatif
Saat Penyampaian materi agak terlalu cepat,sampai materi terlalu cepat,negatif
"Terimakasih pak, sukses selalu.",terimakasih pak sukses selalu,positif
Semangat Bu,semangat bu,positif
Tidak ada bu karena cara pengajaran ibu yang menyenangkan dalam berinteraksi dengan siswa.,tidak bu cara ajar ibu senang interaksi siswa,positif
"Pengajaran yang diberikan sudah sangat baik, namun Jika ada informasi kelas kosong jangan disampaikan dengan mendadak karena kasihan para Siswa yang bertempat tinggal jauh",ajar beri sangat baik jika informasi kelas kosong jangan sampai dadak kasihan siswa tempat tinggal jauh,negatif
Saran untuk pembelajaran Pelajaran mikrokontroller dan iot adalah semoga semakin lebih baik lagi dalam menyampaikan materi,saran ajar ajar mikrokontroller iot moga makin lebih baik dalam sampai materi,positif
Sehat sehat ibu,sehat sehat ibu,positif
"terus sabar bu, ngajarin anak anak hehe",terus sabar bu ngajarin anak anak hehe,positif
Sudah baik dalam mengajar,baik ajar,positif
Pembelajaran seperti 2 pertemuan terakhir,ajar temu akhir,negatif
Semoga semester selanjutnya bisa offline,moga semester lanjut offline,negatif
"Dimohon untuk tidak melakukan pengajaran hanya dengan lewat record video dari zoom kelas sebelumnya, dikarenakan kurang efektif",mohon tidak laku ajar dengan lewat record video zoom kelas belum karena kurang efektif,negatif
Pelajaran disampaikan dengan menarik,ajar sampai tarik,positif
Tugas besarnya menguras uang banyak pak sehingga saya ga makan untuk 5 hari,tugas besar uras uang banyak pak saya ga makan hari,negatif
zoom dan gmeet beli premium pak,zoom gmeet beli premium pak,negatif
deadline tugas jangan terlalu lama.,deadline tugas jangan terlalu lama,negatif
semoga dapat dipertahankan,moga tahan,positif
"Untuk Pelajaran perancangan basis data, mohon apabila terkendala kelas tersebut dialihkan ke hari lain. Minimal materi atau runtutan materi diinputkan ke elearning. Agar Siswa dapat mengetahui dari bagian mana mereka belajar. Selain itu, dengan cara ini juga dapat memberikan kemudahan dan mengefisienkan kelas untuk praktikum. Karena Siswa tidak datang dengan otak kosong terkait praktikum dan hanya memahami teori saja. Terima kasih, mohon maaf jika ada salah kata dalam penulisan saran saya.",ajar ancang basis data mohon apabila kendala kelas sebut alih hari minimal materi runtut materi diinputkan elearning siswa tahu bagi mana ajar itu cara juga beri mudah efisien kelas praktikum siswa tidak datang otak kosong kait praktikum hanya paham teori terima kasih mohon maaf ada salah kata tulis saran,negatif
terimakaasih atas ilmunya pak,terimakaasih atas ilmu pak,positif
